Site_Code,Site_Name,Total_Samples,MAE_m,RMSE_m,R2_Score,Within_3m_%,Avg_Visibility_m,Vis_StdDev_m,Vis_Range_m,Vis_CV,Performance_Category,Priority
AMJ,Ammo Jetty,86,1.8705318248530731,2.369898326350124,-0.0500400790679897,83.33333333333334,3.611111111111111,2.67605790477574,14,0.659429741577976,Good,LOW
KGT,Kwinana Grain Terminal,73,2.017524893254736,2.6778336044902105,-0.9918868925936206,80.0,5.999999999999999,3.153722643870203,19,0.5560911908273547,Good,LOW
SCR,South Cottesloe Reef,72,3.928707281670691,5.713706129528264,-0.4385915570479819,46.66666666666666,7.2,4.48707062758114,19,0.6334687944820433,Poor,MEDIUM
RKM,Rockingham Dive Trail,60,7.556462511621794,8.8756424606313,-4.593635201583044,8.333333333333332,6.5,3.319647044065851,14,0.5806962759298865,Critical,HIGH
CMT,Coogee Maritime Trail,56,2.095889699449008,3.100738512159436,-0.0600174734084988,83.33333333333334,4.175,3.4180341416498035,15,0.6204711658408879,Good,LOW
BUL,Bulk Jetty,56,1.6832894467265265,1.9083807866720044,0.1856582598149132,91.66666666666666,4.166666666666667,2.618552688379247,12,0.4871725931868367,Good,LOW
NMF,North Mole Fremantle,54,4.518462988468145,5.266187442093801,-0.978573320287288,36.36363636363637,8.272727272727273,4.936069273644145,24,0.6085564857917439,Critical,HIGH
PPR,Point Peron,50,2.1726376163261447,3.2425058752686438,0.0043708000803339,90.0,7.2,3.752550153303914,14,0.48109617350050177,Good,LOW
